,Price,Cid,Iid,Status
0,221.0,2274723227,948149725,Sold
1,221.0,2274723227,948149725,Sold
2,327.0,2274728527,1625510296,Sold
3,328.0,2274728527,1625510296,Sold
4,328.0,2274728527,1625510296,Sold
5,342.0,2274728527,1625510296,Sold
6,342.0,2274728527,1625510296,Sold
7,360.0,2274728527,1625510296,Sold
8,360.0,2274728527,1625510296,Sold
9,215.0,2274726528,948149725,Sold
